id,title_en,title_zh,source_type,institution,date,topics,jurisdiction,language,url,doi_or_isbn,citation,summary,significance_note
prc-2018-arctic-policy,China's Arctic Policy,中国的北极政策,PRC official document,State Council Information Office,2018-01-26,sovereignty-non-interference;global-economic-system;belt-and-road,China,English,https://english.www.gov.cn/archive/white_paper/2018/01/26/content_281476026660336.htm,,State Council Information Office - China's Arctic Policy - 26 January 2018,White paper setting out China's role in Arctic governance,Important for UNCLOS freedoms and Polar Silk Road ideas
prc-2019-national-defense-new-era,China's National Defense in the New Era,新时代的中国国防,PRC official document,State Council Information Office,2019-07-24,use-of-force;theory-order;sovereignty-non-interference,China,English,https://english.www.gov.cn/archive/whitepaper/201907/24/content_WS5d3941ddc6d08408f502283d.html,,State Council Information Office - China's National Defense in the New Era - 24 July 2019,Defense white paper on security policy and military modernization,Useful for comparing peaceful development claims with security doctrine
prc-2020-un-peacekeeping-whitepaper,China's Armed Forces: 30 Years of UN Peacekeeping Operations,中国军队参加联合国维和行动30年,PRC official document,State Council Information Office,2020-09-18,use-of-force;theory-order;dispute-settlement,China,English,https://english.www.gov.cn/archive/whitepaper/202009/18/content_WS5f6449a8c6d0f7257693c323.html,,State Council Information Office - China's Armed Forces: 30 Years of UN Peacekeeping Operations - 18 September 2020,Official account of China's participation in UN peacekeeping,Shows the move from non-intervention caution to active UN-centered peacekeeping
prc-2020-unreliable-entity-list,Provisions on the Unreliable Entity List,不可靠实体清单规定,PRC official document,Ministry of Commerce,2020-09-19,sanctions-anti-sanctions;global-economic-system;sovereignty-non-interference,China,English,https://english.mofcom.gov.cn/Policies/AnnouncementsOrders/art/2020/art_26e3c471536d443c944d60c91bacaf9a.html,,MOFCOM Order No 4 of 2020 - Provisions on the Unreliable Entity List,MOFCOM rules authorizing listing measures against foreign entities,Core source for China's economic countermeasure architecture
prc-2021-data-security-law,Data Security Law of the People's Republic of China,中华人民共和国数据安全法,PRC official document,National People's Congress,2021-06-10,sovereignty-non-interference;global-economic-system;sanctions-anti-sanctions,China,English,https://www.npc.gov.cn/englishnpc/c2759/c23934/202112/t20211209_385109.html,,Data Security Law of the People's Republic of China - adopted 10 June 2021,Framework law on data processing and data security governance,Important for data sovereignty and cross-border legal exposure
prc-2021-personal-information-protection-law,Personal Information Protection Law of the People's Republic of China,中华人民共和国个人信息保护法,PRC official document,National People's Congress,2021-08-20,sovereignty-non-interference;global-economic-system,China,Chinese,https://www.npc.gov.cn/npc/c2/c30834/202108/t20210820_313088.html,,Personal Information Protection Law of the People's Republic of China - adopted 20 August 2021,Major statute on personal information processing and transfers,Helps map China's model for digital governance and data flows
prc-2021-export-controls-whitepaper,China's Export Controls,中国的出口管制,PRC official document,State Council Information Office,2021-12-29,sanctions-anti-sanctions;global-economic-system;use-of-force,China,English,https://english.www.gov.cn/archive/whitepaper/202112/29/content_WS61cc01b8c6d09c94e48a2df0.html,,State Council Information Office - China's Export Controls - 29 December 2021,White paper explaining China's export control system and non-proliferation rationale,Connects trade controls with security governance
prc-2022-cyberspace-shared-future,Jointly Build a Community with a Shared Future in Cyberspace,携手构建网络空间命运共同体,PRC official document,State Council Information Office,2022-11-07,theory-order;sovereignty-non-interference;global-economic-system,China,English,https://english.www.gov.cn/archive/whitepaper/202211/07/content_WS636894aac6d0a757729e2973.html,,State Council Information Office - Jointly Build a Community with a Shared Future in Cyberspace - 7 November 2022,White paper on internet development and cyberspace governance,Useful for cyber sovereignty and digital development claims
prc-2023-law-based-cyberspace-governance,China's Law-Based Cyberspace Governance in the New Era,新时代的中国网络法治建设,PRC official document,State Council Information Office,2023-03-16,theory-order;sovereignty-non-interference;global-economic-system,China,English,https://english.www.gov.cn/archive/whitepaper/202303/16/content_WS6489542ec6d0868f4e8dcd56.html,,State Council Information Office - China's Law-Based Cyberspace Governance in the New Era - 16 March 2023,White paper on legal institutions and enforcement in cyberspace,Foregrounds rule-of-law language in China's cyber governance
prc-2023-ukraine-crisis-position,China's Position on the Political Settlement of the Ukraine Crisis,关于政治解决乌克兰危机的中国立场,PRC official document,Ministry of Foreign Affairs,2023-02-24,use-of-force;sovereignty-non-interference;sanctions-anti-sanctions;theory-order,China,English,https://www.mfa.gov.cn/eng/zy/gb/202405/t20240531_11367485.html,,Ministry of Foreign Affairs - China's Position on the Political Settlement of the Ukraine Crisis - 24 February 2023,Twelve-point MFA position paper on Ukraine and peace talks,Key source for China's application of Charter principles to war
prc-2023-global-ai-governance-initiative,Global AI Governance Initiative,全球人工智能治理倡议,PRC official document,Ministry of Foreign Affairs,2023-10-20,theory-order;global-economic-system;use-of-force,China,English,https://www.mfa.gov.cn/mfa_eng/zy/gb/202405/t20240531_11367503.html,,Ministry of Foreign Affairs - Global AI Governance Initiative - 20 October 2023,Chinese proposal for global AI governance,Shows China's attempt to shape rules for emerging technology
prc-2023-global-civilization-initiative,Global Civilization Initiative,全球文明倡议,PRC official document,State Council / Xinhua,2023-03-15,theory-order;sovereignty-non-interference,China,English,https://english.www.gov.cn/news/topnews/202303/15/content_WS6411d42ac6d0f528699db528.html,,Xinhua - Xi proposes Global Civilization Initiative - 15 March 2023,Official report on the Global Civilization Initiative,Relevant to China's defense of plural paths to modernization
prc-2024-dual-use-export-control-regulations,Regulations on Export Control of Dual-Use Items,两用物项出口管制条例,PRC official document,State Council,2024-10-19,sanctions-anti-sanctions;global-economic-system;use-of-force,China,English,https://english.www.gov.cn/policies/latestreleases/202410/19/content_WS67139778c6d0868f4e8ec188.html,,State Council - Regulations on Export Control of Dual-Use Items - 19 October 2024,State Council regulations updating dual-use export controls,Adds implementation detail to China's economic security law
prc-2024-energy-transition-whitepaper,China's Energy Transition,中国的能源转型,PRC official document,State Council Information Office,2024-08-29,global-economic-system;theory-order,China,English,https://english.www.gov.cn/archive/whitepaper/202408/29/content_WS66d012e8c6d0868f4e8ea52e.html,,State Council Information Office - China's Energy Transition - 29 August 2024,White paper on energy transition and climate response,Connects climate governance with China's economic-order narrative
prc-2025-national-security-new-era,China's National Security in the New Era,新时代的中国国家安全,PRC official document,State Council Information Office,2025-05-12,use-of-force;sovereignty-non-interference;sanctions-anti-sanctions;theory-order,China,English,https://english.www.gov.cn/english.www.gov.cn/news/202505/12/content_WS6821a354c6d0868f4e8f279a.html,,State Council Information Office - China's National Security in the New Era - 12 May 2025,White paper abstract on the holistic national security approach,Shows links among security opening up and sanctions risk
prc-2025-arms-control-nonproliferation,China's Arms Control Disarmament and Nonproliferation in the New Era,新时代的中国军控裁军与防扩散,PRC official document,State Council Information Office,2025-11-27,use-of-force;theory-order;global-economic-system,China,English,https://english.www.gov.cn/news/202511/27/content_WS6927b8acc6d00ca5f9a07d22.html,,State Council Information Office - China's Arms Control Disarmament and Nonproliferation in the New Era - 27 November 2025,Official account of arms control and non-proliferation policies,Important for security governance and emerging domains
prc-2021-hk-electoral-system-decision,Decision on Improving the Electoral System of the Hong Kong Special Administrative Region,全国人民代表大会关于完善香港特别行政区选举制度的决定,PRC official document,National People's Congress,2021-03-11,one-country-two-systems;sovereignty-non-interference;dispute-settlement,Hong Kong SAR,English,https://www.basiclaw.gov.hk/filemanager/content/en/files/basiclawtext/basiclawtext_doc31.pdf,,National People's Congress - Decision on Improving the Electoral System of the Hong Kong SAR - 11 March 2021,NPC decision restructuring Hong Kong's electoral system,Central to debates over autonomy and constitutional authority
prc-2021-hk-annex-i-amended,Hong Kong Basic Law Annex I as amended in 2021,香港基本法附件一2021年修订,PRC official document,National People's Congress Standing Committee,2021-03-30,one-country-two-systems;sovereignty-non-interference;dispute-settlement,Hong Kong SAR,English,https://www.basiclaw.gov.hk/en/basiclaw/annex1.html,,Hong Kong Basic Law Annex I as amended on 30 March 2021,Amended method for selecting the Chief Executive,Shows central legal authority reshaping Hong Kong governance
prc-2021-hk-annex-ii-amended,Hong Kong Basic Law Annex II as amended in 2021,香港基本法附件二2021年修订,PRC official document,National People's Congress Standing Committee,2021-03-30,one-country-two-systems;sovereignty-non-interference;dispute-settlement,Hong Kong SAR,English,https://www.basiclaw.gov.hk/en/basiclaw/annex2.html,,Hong Kong Basic Law Annex II as amended on 30 March 2021,Amended method for forming the Legislative Council,Important for the legal transformation of representation
prc-2016-cybersecurity-law,Cybersecurity Law of the People's Republic of China,中华人民共和国网络安全法,PRC official document,National People's Congress Standing Committee,2016-11-07,sovereignty-non-interference;theory-order;global-economic-system,China,Chinese,https://www.cac.gov.cn/2016-11/07/c_1119867116.htm,,Cybersecurity Law of the People's Republic of China - adopted 7 November 2016,Foundational cybersecurity statute on cyber sovereignty and network security,Domestic legal anchor for China's cyber governance positions
intl-1984-sino-british-joint-declaration,Sino-British Joint Declaration on the Question of Hong Kong,中英联合声明,International law document,China and United Kingdom / United Nations Treaty Series,1984-12-19,one-country-two-systems;sovereignty-non-interference;dispute-settlement,Hong Kong SAR,English and Chinese,https://treaties.un.org/doc/publication/unts/volume%201399/v1399.pdf,,Sino-British Joint Declaration on the Question of Hong Kong - 19 December 1984,Treaty setting out arrangements for the resumption of Chinese sovereignty over Hong Kong,Baseline international-law document for Hong Kong autonomy debates
intl-1987-sino-portuguese-joint-declaration,Sino-Portuguese Joint Declaration on the Question of Macao,中葡联合声明,International law document,China and Portugal / United Nations Treaty Series,1987-04-13,one-country-two-systems;sovereignty-non-interference;dispute-settlement,Macau SAR,English and Portuguese,https://treaties.un.org/doc/Publication/UNTS/Volume%201498/volume-1498-I-25805-English.pdf,,Sino-Portuguese Joint Declaration on the Question of Macao - 13 April 1987,Treaty framework for Macao's transfer and Basic Law order,Provides the Macau counterpart to the Hong Kong settlement
intl-2006-unclos-china-article-298-declaration,China's declaration under Article 298 of UNCLOS,中国关于联合国海洋法公约第298条的声明,International law document,United Nations Treaty Collection,2006-08-25,sovereignty-non-interference;dispute-settlement,International,English,https://treaties.un.org/Pages/showActionDetails.aspx?clang=_en&objid=08000002800441a6,,United Nations Treaty Collection - China declaration under article 298 - 25 August 2006,China's optional exceptions declaration under UNCLOS Part XV,Essential for maritime dispute settlement analysis
intl-2015-scs-jurisdiction-award,South China Sea Arbitration Award on Jurisdiction and Admissibility,,International law document,Permanent Court of Arbitration,2015-10-29,sovereignty-non-interference;dispute-settlement,International,English,https://pca-cpa.org/en/cases/7/,,South China Sea Arbitration - Award on Jurisdiction and Admissibility - 29 October 2015,Tribunal decision on jurisdiction in the Philippines-China UNCLOS arbitration,Shows why the tribunal proceeded despite China's objections
