id,date,title,topics,record_ids,summary
tl-1945-un-charter,1945-06-26,UN Charter signed,use-of-force;sovereignty-non-interference;theory-order,intl-1945-un-charter,"Postwar legal order baseline for force, sovereignty, and collective security."
tl-1971-un-seat,1971-10-25,PRC seated at the United Nations,theory-order;sovereignty-non-interference,intl-1971-unga-2758;practice-1971-prc-un-seat,China's representation in universal institutions shifts to the PRC.
tl-1982-unclos,1982-12-10,UNCLOS opened for signature,sovereignty-non-interference;dispute-settlement,intl-1982-unclos,Maritime legal order becomes central to later Chinese practice.
tl-1997-hk,1997-07-01,Hong Kong handover,sovereignty-non-interference;dispute-settlement;one-country-two-systems,practice-1997-hk-handover;prc-1990-basic-law-hk,"One country, two systems becomes a major sovereignty and legal-order issue."
tl-2001-wto,2001-12-11,China joins the WTO,global-economic-system;dispute-settlement,prc-2001-china-wto-accession;practice-2001-wto-membership,China enters the multilateral trade law system.
tl-2005-anti-secession,2005-03-14,Anti-Secession Law adopted,sovereignty-non-interference;use-of-force;one-country-two-systems,prc-2005-anti-secession-law,"Domestic legislation links Taiwan policy, sovereignty, and possible force."
tl-2011-peaceful-development,2011-09-06,Peaceful development white paper,theory-order;use-of-force;global-economic-system,prc-2011-peaceful-development,China articulates a comprehensive peaceful development narrative.
tl-2013-bri,2013-09-07,Belt and Road Initiative announced,belt-and-road;global-economic-system,practice-2013-bri-launch,BRI begins as a major ordering project.
tl-2014-scs-position,2014-12-07,China issues South China Sea jurisdiction position paper,sovereignty-non-interference;dispute-settlement,prc-2016-south-china-sea-position,China sets out objections to arbitral jurisdiction.
tl-2015-bri-vision,2015-03-28,BRI Vision and Actions document issued,belt-and-road;global-economic-system,prc-2015-bri-vision-actions,The initiative receives a formal policy architecture.
tl-2015-aiib,2015-06-29,AIIB Articles signed,belt-and-road;global-economic-system,practice-2015-aiib-articles,China-backed development finance institution enters the legal landscape.
tl-2016-scs-award,2016-07-12,South China Sea arbitral award issued,sovereignty-non-interference;dispute-settlement,intl-2016-scs-award;prc-2016-scs-whitepaper,Major inflection point in China's relationship with compulsory dispute settlement.
tl-2017-davos,2017-01-17,Xi Jinping speaks at Davos,theory-order;global-economic-system,prc-2017-xis-davos-speech,China presents itself as a defender of globalization.
tl-2018-wto-whitepaper,2018-06-28,China and the WTO white paper,global-economic-system;dispute-settlement,prc-2018-china-wto-whitepaper,Official account of WTO compliance and reform position.
tl-2019-trade-whitepaper,2019-06-02,White paper on China-US trade consultations,global-economic-system;sanctions-anti-sanctions,prc-2019-china-us-trade-consultations,Trade conflict becomes central to China's critique of unilateralism.
tl-2020-export-control,2020-10-17,Export Control Law adopted,sanctions-anti-sanctions;global-economic-system,prc-2020-export-control-law,Economic security law becomes more systematic.
tl-2021-blocking-rules,2021-01-09,MOFCOM blocking rules issued,sanctions-anti-sanctions;global-economic-system,prc-2021-blocking-rules,China creates blocking mechanisms for foreign extraterritorial measures.
tl-2021-afsl,2021-06-10,Anti-Foreign Sanctions Law adopted,sanctions-anti-sanctions;sovereignty-non-interference,prc-2021-anti-foreign-sanctions-law,Counter-sanctions become statutory.
tl-2022-taiwan-whitepaper,2022-08-10,New Taiwan white paper released,sovereignty-non-interference;use-of-force;one-country-two-systems,prc-2022-taiwan-question-new-era,Taiwan policy is restated in the new era vocabulary.
tl-2023-gsi,2023-02-21,Global Security Initiative concept paper issued,theory-order;use-of-force,prc-2023-global-security-initiative,China offers a branded security governance framework.
tl-2023-saudi-iran,2023-03-10,Saudi-Iran rapprochement facilitated in Beijing,theory-order;dispute-settlement,practice-2023-saudi-iran,China highlights mediation as order-building practice.
tl-2023-shared-future,2023-09-26,Community of shared future white paper,theory-order;global-economic-system;belt-and-road,prc-2023-global-community-shared-future,Official normative account of China's global-order proposal.
tl-2023-bri-whitepaper,2023-10-10,BRI white paper released,belt-and-road;global-economic-system,prc-2023-bri-whitepaper,BRI is framed as a pillar of a shared future.
tl-2024-icj-climate,2024-03-22,China participates in ICJ climate advisory proceedings,global-economic-system;dispute-settlement;theory-order,practice-2024-icj-climate-statement;intl-2024-icj-climate,China engages legal argument on climate obligations and development equity.
tl-1993-macau-basic-law,1993-03-31,Macau Basic Law adopted,sovereignty-non-interference;one-country-two-systems,prc-1993-basic-law-macau,The Macau SAR constitutional framework is adopted before the 1999 handover.
tl-1999-macau,1999-12-20,Macau handover,sovereignty-non-interference;one-country-two-systems;dispute-settlement,practice-1999-macau-handover;prc-1993-basic-law-macau,"Macau becomes the second SAR governed under one country, two systems."
tl-2014-hk-whitepaper,2014-06-10,"Hong Kong one country, two systems white paper released",sovereignty-non-interference;one-country-two-systems;dispute-settlement,prc-2014-one-country-two-systems-hk,The State Council presents an official interpretation of central authority and Hong Kong autonomy.
tl-2020-hk-national-security,2020-06-30,Hong Kong national security law adopted,sovereignty-non-interference;one-country-two-systems;sanctions-anti-sanctions,practice-2020-hk-national-security-law,"National security becomes a central controversy in the legal meaning of one country, two systems."
