id,title_en,title_zh,source_type,institution,date,topics,jurisdiction,language,url,doi_or_isbn,citation,summary,significance_note
lit-2024-cjtl-legalization-foreign-relations,Legalization of Foreign Relations in China,,Literature,Zheng Tang and Congyan Cai,2024-08-21,theory-order;sovereignty-non-interference,Scholarly literature,English,https://journals.sagepub.com/doi/10.1177/2753412X241275084,10.1177/2753412X241275084,Zheng Tang and Congyan Cai - Legalization of Foreign Relations in China - Chinese Journal of Transnational Law - 2024,Editorial introduction to a special issue on China's foreign relations law,Provides a concise map of the legalization theme in current scholarship
lit-2024-cjtl-frl-milestone,Milestone of China's Foreign-Related Legislation,,Literature,Huang Huikang,2024-07-23,theory-order;sovereignty-non-interference;global-economic-system,Scholarly literature,English,https://journals.sagepub.com/doi/10.1177/2753412X241261028,10.1177/2753412X241261028,Huang Huikang - Milestone of China's Foreign-Related Legislation - Chinese Journal of Transnational Law - 2024,Article reviewing the 2023 PRC Law on Foreign Relations from a Chinese international law perspective,Useful for reading official legislative objectives alongside scholarly interpretation
lit-2024-cjtl-frl-political-framing,Political Framing in China's Foreign Relations Law,,Literature,Malcolm Jorgensen,2024-06-14,theory-order;sovereignty-non-interference,Scholarly literature,English,https://journals.sagepub.com/doi/10.1177/2753412X241261033,10.1177/2753412X241261033,Malcolm Jorgensen - Political Framing in China's Foreign Relations Law - Chinese Journal of Transnational Law - 2024,Open access article on how China's foreign relations law frames international legal order,Key reading on rules-based order discourse and China's counter-framing
lit-2024-cjtl-foreign-state-immunity-dodge,China's Foreign State Immunity Law,,Literature,William S Dodge,2024-04-22,sovereignty-non-interference;dispute-settlement;one-country-two-systems,Scholarly literature,English,https://journals.sagepub.com/doi/10.1177/2753412X241247632,10.1177/2753412X241247632,William S Dodge - China's Foreign State Immunity Law - Chinese Journal of Transnational Law - 2024,Article introducing China's restrictive foreign state immunity law to English language readers,Important for litigation and one country two systems implications of immunity doctrine
lit-2024-cjtl-blocking-statutes,A Critical Appraisal on China's Blocking Statutes,,Literature,Guiqiang Liu,2024-09-05,sanctions-anti-sanctions;global-economic-system;dispute-settlement,Scholarly literature,English,https://journals.sagepub.com/doi/10.1177/2753412X241270492,10.1177/2753412X241270492,Guiqiang Liu - A Critical Appraisal on China's Blocking Statutes - Chinese Journal of Transnational Law - 2024,Article on private actor risks created by China's blocking statutes,Adds a concrete sanctions compliance lens to the archive
lit-2024-cjtl-gsi-legal-lens,Reading China's Global Security Initiative Through an International Legal Lens,,Literature,Ka Lok Yip,2024-03-25,theory-order;use-of-force;sovereignty-non-interference;dispute-settlement,Scholarly literature,English,https://journals.sagepub.com/doi/10.1177/2753412X241240259,10.1177/2753412X241240259,Ka Lok Yip - Reading China's Global Security Initiative Through an International Legal Lens - Chinese Journal of Transnational Law - 2024,Article assessing the Global Security Initiative through international law themes,Connects common security and sovereign equality to use of force and peaceful settlement questions
lit-2024-cjtl-cicc-global-context,The China International Commercial Court,,Literature,Xiangzhuang Sun,2023-08-27,dispute-settlement;belt-and-road;global-economic-system,Scholarly literature,English,https://journals.sagepub.com/doi/10.1177/2753412X231193200,10.1177/2753412X231193200,Xiangzhuang Sun - The China International Commercial Court - Chinese Journal of Transnational Law - 2024,Article on the establishment and development of the China International Commercial Court,Useful for studying China-centred transnational commercial dispute settlement
lit-2024-chinesejil-foreign-state-immunity-preliminary,Foreign State Immunity Law of China,,Literature,Xinxiang Shi,2024-06-07,sovereignty-non-interference;dispute-settlement;one-country-two-systems,Scholarly literature,English,https://academic.oup.com/chinesejil/article/23/2/341/7689859,10.1093/chinesejil/jmae017,Xinxiang Shi - Foreign State Immunity Law of China - Chinese Journal of International Law - 2024,Article appraising China's move from absolute to restrictive state immunity,Complements the foreign relations law and state immunity records
lit-2022-chinesejil-unilateral-sanctions,Unilateral Sanctions - Kind and Degree,,Literature,Sienho Yee,2022-01-21,sanctions-anti-sanctions;sovereignty-non-interference;theory-order,Scholarly literature,English,https://academic.oup.com/chinesejil/article/20/4/817/6513414,10.1093/chinesejil/jmac002,Sienho Yee - Unilateral Sanctions - Chinese Journal of International Law - 2022,Article analyzing unilateral sanctions and long-arm jurisdiction,Important Chinese international law account of sanctions legality and countermeasures
lit-2022-chinesejil-adaptation-international-law,Adaptation of International Law in the Chinese Constitution and Legal System,,Literature,Chao Wang and Taixia Shen,2022-08-18,theory-order;sovereignty-non-interference;dispute-settlement,Scholarly literature,English,https://academic.oup.com/chinesejil/article/21/2/287/6671436,10.1093/chinesejil/jmac018,Chao Wang and Taixia Shen - Adaptation of International Law in the Chinese Constitution and Legal System - Chinese Journal of International Law - 2022,Article on the place of international law within China's constitutional and legal system,Supports the site's methodology on domestic reception of international law
lit-2024-chinesejil-great-powers-formation,Great Powers and the Formation of International Law,,Literature,Kevin Jon Heller,2024-12-16,theory-order;use-of-force;sovereignty-non-interference,Scholarly literature,English,https://academic.oup.com/chinesejil/article/23/4/637/7925746,10.1093/chinesejil/jmae038,Kevin Jon Heller - Great Powers and the Formation of International Law - Chinese Journal of International Law - 2024,Compares how great powers including China approach international law formation and contest primary legal rules.,Useful theoretical source for power and legality in rule formation.
